latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
47.63015,34.32149,320.7,0.74,0.76,2018-10-19,0112,N,nominal,1.0NRT,281.9,4.1,N
47.86716,33.43762,305.7,0.67,0.74,2018-10-19,0112,N,nominal,1.0NRT,280.4,2.5,N
47.87589,33.41182,295.1,0.67,0.74,2018-10-19,0112,N,nominal,1.0NRT,283.9,1.7,N
47.86678,33.43653,301.7,0.67,0.74,2018-10-19,0112,N,nominal,1.0NRT,280.5,2.9,N
47.87288,33.39854,296.7,0.67,0.74,2018-10-19,0112,N,nominal,1.0NRT,283.7,1.7,N
50.33294,24.79479,305.6,0.51,0.49,2018-10-19,0112,N,nominal,1.0NRT,278.9,1.8,N
50.33118,24.80152,302.4,0.51,0.49,2018-10-19,0112,N,nominal,1.0NRT,276.5,1.8,N
53.14128,8.67299,300.4,0.5,0.41,2018-10-19,0112,N,nominal,1.0NRT,277.5,1.1,N
53.14053,8.68053,303.5,0.5,0.41,2018-10-19,0112,N,nominal,1.0NRT,279.8,1.1,N
53.14152,8.67429,307.3,0.5,0.41,2018-10-19,0112,N,nominal,1.0NRT,278.2,1,N
53.13623,8.68827,305.5,0.5,0.41,2018-10-19,0112,N,nominal,1.0NRT,279.8,3.2,N
53.13326,8.67968,331.9,0.5,0.41,2018-10-19,0112,N,nominal,1.0NRT,281.9,3.2,N
52.54882,12.61784,302.1,0.4,0.37,2018-10-19,0112,N,nominal,1.0NRT,277.5,0.8,N
53.46442,-0.01278,299,0.37,0.58,2018-10-19,0112,N,nominal,1.0NRT,275.7,0.5,N
53.46426,-0.00709,296,0.37,0.58,2018-10-19,0112,N,nominal,1.0NRT,276,0.5,N
53.33943,-1.75415,301.9,0.43,0.62,2018-10-19,0112,N,nominal,1.0NRT,275.2,0.8,N
50.87295,19.25441,296.8,0.47,0.39,2018-10-19,0112,N,nominal,1.0NRT,280.2,1,N
52.31627,10.25089,322,0.44,0.38,2018-10-19,0112,N,nominal,1.0NRT,280.7,2.5,N
52.35521,9.8902,295.3,0.45,0.39,2018-10-19,0112,N,nominal,1.0NRT,279.7,0.5,N
48.74671,26.60622,302.5,0.33,0.56,2018-10-19,0112,N,nominal,1.0NRT,281.3,1,N
50.49054,19.4714,301.3,0.48,0.4,2018-10-19,0112,N,nominal,1.0NRT,279.6,0.8,N
51.81107,11.75336,296.7,0.41,0.37,2018-10-19,0112,N,nominal,1.0NRT,280.9,0.5,N
50.49112,19.45809,297.9,0.48,0.4,2018-10-19,0112,N,nominal,1.0NRT,282,1.2,N
50.48843,19.47105,296.3,0.48,0.4,2018-10-19,0112,N,nominal,1.0NRT,279.2,1.6,N
52.20989,8.04984,296.6,0.51,0.41,2018-10-19,0112,N,nominal,1.0NRT,279.7,0.8,N
52.49413,4.60947,303.7,0.46,0.47,2018-10-19,0112,N,nominal,1.0NRT,279.3,1.8,N
52.49364,4.61644,315.2,0.46,0.47,2018-10-19,0112,N,nominal,1.0NRT,282.7,1.8,N
52.4824,4.58613,333.8,0.46,0.47,2018-10-19,0112,N,nominal,1.0NRT,282.3,2.6,N
52.48191,4.59313,307.9,0.46,0.47,2018-10-19,0112,N,nominal,1.0NRT,281.6,3,N
